dataset,status,error,test_score,validation_score,metadata_classes,metadata_dataset,metadata_first_class,metadata_length_consistent,metadata_n_channels,metadata_n_classes,metadata_series_length,metadata_test_size,metadata_train_size,best_params_bootstrap,best_params_ccp_alpha,best_params_criterion,best_params_max_depth,best_params_max_features,best_params_max_leaf_nodes,best_params_max_samples,best_params_min_impurity_decrease,best_params_min_samples_leaf,best_params_min_samples_split,best_params_n_estimators,forest_statistics_avg_depth,forest_statistics_avg_leaves,forest_statistics_avg_nodes,forest_statistics_max_depth,forest_statistics_min_depth,forest_statistics_n_estimators
MixedShapesSmallTrain,optimized,,0.7657731958762887,0.8300000000000001,1|2|3|4|5,MixedShapesSmallTrain,1,True,1,5,1024,2425,100,True,0.019347198080430665,entropy,42,log2,,0.7,0.05724043454107114,4,10,141,3.7943262411347516,6.851063829787234,12.702127659574469,5,3,141
MoteStrain,optimized,,0.884185303514377,0.85,1|2,MoteStrain,1,True,1,2,84,1252,20,True,0.04112774825106648,gini,49,log2,30,0.7,0.0,1,2,300,1.9066666666666667,2.9266666666666667,4.8533333333333335,4,1,300
NonInvasiveFetalECGThorax1,optimized,,0.8432569974554708,0.8355555555555556,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|23|24|25|26|27|28|29|3|30|31|32|33|34|35|36|37|38|39|4|40|41|42|5|6|7|8|9,NonInvasiveFetalECGThorax1,1,True,1,42,750,1965,1800,True,0.012929033332524417,entropy,38,sqrt,,,0.011415939485609518,10,20,181,8.204419889502763,60.38121546961326,119.76243093922652,10,7,181
OSULeaf,optimized,,0.4090909090909091,0.55,1|2|3|4|5|6,OSULeaf,1,True,1,6,427,242,200,True,0.05,entropy,50,,20,,0.09670515223928379,1,4,222,4.828828828828829,9.905405405405405,18.81081081081081,7,3,222
OliveOil,optimized,,0.8666666666666667,0.9,1|2|3|4,OliveOil,1,True,1,4,570,30,30,True,0.04123495187442477,entropy,23,log2,100,0.7,0.029612655951435474,1,2,284,2.7359154929577465,4.419014084507042,7.838028169014085,4,2,284
PhalangesOutlinesCorrect,optimized,,0.6421911421911422,0.6816666666666666,0|1,PhalangesOutlinesCorrect,0,True,1,2,80,858,1800,True,0.01740775271699035,entropy,22,log2,100,,0.029887465688280542,10,9,115,1.4782608695652173,2.4782608695652173,3.9565217391304346,4,1,115
Phoneme,optimized,,0.15242616033755274,0.15404208194905872,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|23|24|25|26|27|28|29|3|30|31|32|33|34|35|36|37|38|39|4|5|6|7|8|9,Phoneme,1,True,1,39,1024,1896,214,True,0.02190145932204617,entropy,36,,50,0.5,0.06502841017477627,4,14,159,4.1069182389937104,9.238993710691824,17.47798742138365,6,3,159
Plane,optimized,,0.9523809523809523,0.980952380952381,1|2|3|4|5|6|7,Plane,1,True,1,7,144,105,105,True,0.0064643020046188234,entropy,18,,100,0.5,0.06455367497371535,4,14,277,2.3140794223826715,4.324909747292419,7.649819494584838,3,2,277
ProximalPhalanxOutlineAgeGroup,optimized,,0.8634146341463415,0.8574999999999999,1|2|3,ProximalPhalanxOutlineAgeGroup,1,True,1,3,80,205,400,True,0.0350310722310683,entropy,22,log2,10,,0.03706854876627044,6,5,233,3.828326180257511,5.879828326180258,10.759656652360515,6,2,233
ProximalPhalanxOutlineCorrect,optimized,,0.8694158075601375,0.8116666666666668,0|1,ProximalPhalanxOutlineCorrect,0,True,1,2,80,291,600,True,0.0,entropy,50,,,0.5,0.0,1,2,300,9.69,23.29,45.58,15,6,300
ProximalPhalanxTW,optimized,,0.7902439024390244,0.835,3|4|5|6|7|8,ProximalPhalanxTW,3,True,1,6,80,205,400,True,0.0005104664474428574,entropy,36,,10,,0.004941706322143498,5,8,208,5.1923076923076925,10.0,19.0,7,4,208
RefrigerationDevices,optimized,,0.5146666666666667,0.5706666666666667,1|2|3,RefrigerationDevices,1,True,1,3,720,375,375,True,0.019369405490680298,entropy,16,sqrt,,0.5,0.015758973887343267,8,13,270,6.7481481481481485,13.144444444444444,25.288888888888888,10,5,270
ScreenType,optimized,,0.384,0.40800000000000003,1|2|3,ScreenType,1,True,1,3,720,375,375,True,0.029721230492397128,gini,5,log2,100,0.7,0.049500937114876326,4,20,10,0.2,1.2,1.4,1,0,10
ShapeletSim,optimized,,0.5333333333333333,0.55,0|1,ShapeletSim,0,True,1,2,500,180,20,True,0.00544755159805705,entropy,5,log2,50,,0.039098452661410224,2,3,98,2.36734693877551,3.5918367346938775,6.183673469387755,4,1,98
ShapesAll,optimized,,0.6166666666666667,0.6183333333333334,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|23|24|25|26|27|28|29|3|30|31|32|33|34|35|36|37|38|39|4|40|41|42|43|44|45|46|47|48|49|5|50|51|52|53|54|55|56|57|58|59|6|60|7|8|9,ShapesAll,1,True,1,60,512,600,600,True,0.02190145932204617,entropy,36,,50,0.5,0.06502841017477627,4,14,159,5.220125786163522,21.49056603773585,41.9811320754717,6,5,159
SmallKitchenAppliances,optimized,,0.68,0.6346666666666667,1|2|3,SmallKitchenAppliances,1,True,1,3,720,375,375,True,0.0350310722310683,entropy,22,log2,10,,0.03706854876627044,6,5,233,3.532188841201717,6.334763948497854,11.669527896995708,6,2,233
SonyAIBORobotSurface1,optimized,,0.5773710482529119,0.8,1|2,SonyAIBORobotSurface1,1,True,1,2,70,601,20,True,0.0006291531821373654,gini,4,sqrt,100,0.9,0.03352248688288075,2,2,17,1.6470588235294117,2.7058823529411766,4.411764705882353,3,1,17
SonyAIBORobotSurface2,optimized,,0.7943336831059811,0.8933333333333333,1|2,SonyAIBORobotSurface2,1,True,1,2,65,953,27,True,0.0,entropy,50,log2,10,,0.1,2,5,217,1.9493087557603688,3.0737327188940093,5.147465437788019,3,1,217
StarlightCurves,failed,Failed to load dataset metadata: Invalid dataset name =StarlightCurves that is not available on extract path =None nor is it available on https://timeseriesclassification.com/ or zenodo.,,,,StarlightCurves,,False,0,0,0,0,0,,,,,,,,,,,,,,,,,
Strawberry,optimized,,0.9405405405405406,0.9364520858323336,1|2,Strawberry,1,True,1,2,235,370,613,True,0.00040819553983689847,entropy,21,,10,0.7,0.0012798452679831799,3,3,139,5.35251798561151,9.848920863309353,18.697841726618705,7,4,139
SwedishLeaf,optimized,,0.7952,0.7679999999999999,1|10|11|12|13|14|15|2|3|4|5|6|7|8|9,SwedishLeaf,1,True,1,15,128,625,500,True,0.0,entropy,11,log2,100,,0.05097946425975053,2,2,78,5.9743589743589745,18.73076923076923,36.46153846153846,8,5,78
Symbols,optimized,,0.8532663316582915,0.8400000000000001,1|2|3|4|5|6,Symbols,1,True,1,6,398,995,25,True,0.01485153929804179,entropy,2,sqrt,100,,0.07976872105274398,1,4,103,2.0,3.9902912621359223,6.980582524271845,2,2,103
SyntheticControl,optimized,,0.8866666666666667,0.9199999999999999,1|2|3|4|5|6,SyntheticControl,1,True,1,6,60,300,300,True,0.0,entropy,50,sqrt,10,0.7,0.05035918498163986,5,2,103,4.844660194174757,9.854368932038835,18.70873786407767,6,4,103
ToeSegmentation1,optimized,,0.5877192982456141,0.675,0|1,ToeSegmentation1,0,True,1,2,277,228,40,True,0.0,gini,48,,,,0.030990069522967706,6,17,129,1.5116279069767442,2.511627906976744,4.023255813953488,2,1,129
ToeSegmentation2,optimized,,0.7846153846153846,0.8035714285714285,0|1,ToeSegmentation2,0,True,1,2,343,130,36,True,0.02980608970630107,gini,7,sqrt,10,0.7,0.0,1,2,98,3.0,4.459183673469388,7.918367346938775,5,2,98
Trace,optimized,,0.76,0.8800000000000001,1|2|3|4,Trace,1,True,1,4,275,100,100,True,0.0003761383000883392,entropy,12,log2,100,0.9,0.06386995627877545,1,2,90,3.8,6.266666666666667,11.533333333333333,6,2,90
TwoLeadECG,optimized,,0.6865671641791045,0.77,1|2,TwoLeadECG,1,True,1,2,82,1139,23,True,0.030271420765430643,gini,2,log2,10,,0.042793774439368354,1,2,54,1.962962962962963,3.111111111111111,5.222222222222222,2,1,54
TwoPatterns,optimized,,0.76125,0.6839999999999999,1|2|3|4,TwoPatterns,1,True,1,4,128,4000,1000,True,0.0,entropy,50,,50,0.7,0.0,1,19,145,12.344827586206897,44.99310344827586,88.98620689655172,15,10,145
UMD,optimized,,0.7083333333333334,0.657142857142857,1|2|3,UMD,1,True,1,3,150,144,36,True,0.01054243821159687,entropy,32,log2,30,,0.024859845299916934,7,5,171,1.5730994152046784,2.573099415204678,4.146198830409356,3,1,171
UWaveGestureLibraryAll,optimized,,0.8894472361809045,0.8950403476101801,1|2|3|4|5|6|7|8,UWaveGestureLibraryAll,1,True,1,8,945,3582,896,True,0.0,entropy,50,sqrt,,0.5,0.0,1,20,99,6.848484848484849,26.626262626262626,52.25252525252525,8,6,99
UWaveGestureLibraryX,optimized,,0.7361809045226131,0.735505896958411,1|2|3|4|5|6|7|8,UWaveGestureLibraryX,1,True,1,8,315,3582,896,True,0.0,entropy,50,,100,,0.0,1,2,300,11.41,99.86666666666666,198.73333333333332,15,9,300
UWaveGestureLibraryY,optimized,,0.6725293132328308,0.7064866542520173,1|2|3|4|5|6|7|8,UWaveGestureLibraryY,1,True,1,8,315,3582,896,True,0.0,entropy,50,log2,,,0.0,1,20,300,10.85,51.70333333333333,102.40666666666667,18,7,300
UWaveGestureLibraryZ,optimized,,0.6970965940815187,0.6875232774674115,1|2|3|4|5|6|7|8,UWaveGestureLibraryZ,1,True,1,8,315,3582,896,True,0.0,entropy,42,log2,100,,0.0,3,2,163,12.840490797546012,99.25153374233129,197.50306748466258,18,9,163
Wafer,optimized,,0.9918883841661259,0.993,-1|1,Wafer,-1,True,1,2,152,6164,1000,True,0.0,entropy,50,log2,50,,0.0,1,2,10,6.8,13.2,25.4,9,5,10
Wine,optimized,,0.5925925925925926,0.7227272727272729,1|2,Wine,1,True,1,2,234,54,57,True,0.05,entropy,10,,100,0.7,0.1,1,2,10,2.6,4.4,7.8,4,2,10
WordSynonyms,optimized,,0.5658307210031348,0.5618448637316562,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|23|24|25|3|4|5|6|7|8|9,WordSynonyms,1,True,1,25,270,638,267,True,0.0,entropy,50,sqrt,,,0.0,1,2,300,8.956666666666667,72.69,144.38,11,8,300
Worms,optimized,,0.5454545454545454,0.5974474474474475,1|2|3|4|5,Worms,1,True,1,5,900,77,181,True,0.0358854916543126,entropy,45,,50,0.7,0.1,3,8,99,4.777777777777778,9.464646464646465,17.92929292929293,7,3,99
WormsTwoClass,optimized,,0.5974025974025974,0.6462462462462462,1|2,WormsTwoClass,1,True,1,2,900,77,181,True,0.046000461321865825,gini,42,sqrt,,0.7,0.0025801085053521085,4,17,117,2.7606837606837606,4.136752136752137,7.273504273504273,5,0,117
Yoga,optimized,,0.7646666666666667,0.78,1|2,Yoga,1,True,1,2,426,3000,300,True,0.033075911106258474,entropy,19,,10,0.9,0.0,1,19,118,6.567796610169491,9.957627118644067,18.915254237288135,9,4,118
